location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,risk_level,inspection_year,inspection_month,inspection_day
Rural,8,7,3,1,757,6,28,1,2025,5,3
Rural,10,2,10,2,215,2,36,1,2025,5,4
Semi-Urban,9,6,5,2,779,8,25,1,2025,5,5
Semi-Urban,6,4,10,1,697,3,7,1,2025,5,6
Urban,4,6,5,2,81,2,18,1,2025,5,7
Urban,1,4,10,2,282,2,20,1,2025,5,8
Semi-Urban,8,4,6,2,131,4,5,0,2025,5,9
Urban,7,4,10,2,784,4,18,1,2025,5,10
Semi-Urban,2,9,8,1,730,6,42,2,2025,5,11
Urban,8,7,5,2,197,4,40,1,2025,5,12
Rural,5,3,1,2,967,4,33,1,2025,5,13
Rural,7,3,5,2,45,5,15,0,2025,5,14
Semi-Urban,4,6,3,2,429,3,35,1,2025,5,15
Semi-Urban,5,6,4,2,777,2,47,1,2025,5,16
Urban,8,4,8,2,550,3,46,1,2025,5,17
Rural,1,9,7,2,796,2,1,1,2025,5,18
Semi-Urban,1,4,5,1,336,2,21,1,2025,5,19
Urban,4,9,2,0,551,8,8,1,2025,5,20
Rural,3,4,6,2,125,2,7,1,2025,5,21
Rural,10,2,6,2,768,4,41,1,2025,5,22
Rural,2,2,10,2,837,8,44,2,2025,5,23
Semi-Urban,3,5,10,1,483,5,40,2,2025,5,24
Semi-Urban,1,4,6,2,265,7,40,1,2025,5,25
Urban,1,7,9,1,100,3,30,2,2025,5,26
Rural,6,5,8,1,681,1,38,1,2025,5,27
Rural,5,6,8,0,928,2,35,2,2025,5,28
Urban,8,10,1,0,415,2,2,1,2025,5,29
Urban,2,4,5,2,541,2,46,1,2025,5,30
Urban,4,2,7,2,852,6,8,1,2025,5,31
Rural,8,10,6,0,755,2,38,2,2025,6,1
Rural,6,9,5,2,945,5,4,1,2025,6,2
Urban,1,10,8,2,283,2,37,2,2025,6,3
Semi-Urban,4,7,3,2,680,4,21,1,2025,6,4
Urban,1,4,6,2,809,5,13,1,2025,6,5
Rural,2,3,5,1,293,1,9,1,2025,6,6
Rural,5,10,8,2,725,4,45,2,2025,6,7
Rural,8,3,4,2,963,1,29,1,2025,6,8
Semi-Urban,8,9,8,0,191,5,41,2,2025,6,9
Urban,3,5,10,1,284,6,24,2,2025,6,10
Urban,4,3,2,2,982,4,16,1,2025,6,11
Urban,10,5,9,2,841,3,12,1,2025,6,12
Rural,6,2,9,2,45,1,2,0,2025,6,13
Rural,10,4,10,2,488,1,19,0,2025,6,14
Rural,3,10,10,2,881,1,30,2,2025,6,15
Rural,2,2,6,2,495,3,16,1,2025,6,16
Semi-Urban,6,2,4,1,375,2,24,1,2025,6,17
Semi-Urban,5,8,4,2,45,0,13,0,2025,6,18
Rural,10,1,6,2,53,1,5,0,2025,6,19
Rural,5,7,5,2,283,6,23,1,2025,6,20
Urban,10,5,6,2,157,4,38,1,2025,6,21
Semi-Urban,5,8,7,1,835,2,31,2,2025,6,22
Urban,10,1,7,2,714,4,17,0,2025,6,23
Rural,5,7,9,2,894,5,3,1,2025,6,24
Semi-Urban,3,5,8,2,773,0,26,1,2025,6,25
Urban,7,4,6,0,585,0,13,1,2025,6,26
Semi-Urban,6,7,6,2,481,4,44,1,2025,6,27
Semi-Urban,4,10,5,2,187,3,38,1,2025,6,28
Urban,2,2,1,2,650,4,22,1,2025,6,29
Urban,9,1,9,1,674,1,21,1,2025,6,30
Semi-Urban,1,1,9,2,100,3,29,1,2025,7,1
Semi-Urban,4,1,9,2,776,4,45,1,2025,7,2
Semi-Urban,1,5,8,2,933,2,46,2,2025,7,3
Semi-Urban,6,10,10,2,883,5,39,2,2025,7,4
Rural,4,7,3,1,889,2,5,1,2025,7,5
Semi-Urban,5,2,1,1,426,4,14,1,2025,7,6
Semi-Urban,5,10,8,2,593,2,18,1,2025,7,7
Rural,9,8,7,2,65,3,4,0,2025,7,8
Urban,1,4,5,2,618,3,33,1,2025,7,9
Urban,2,3,10,2,630,0,39,1,2025,7,10
Urban,6,10,7,2,826,5,20,1,2025,7,11
Semi-Urban,5,8,10,2,930,5,13,1,2025,7,12
Semi-Urban,7,2,4,2,72,2,36,0,2025,7,13
Semi-Urban,3,3,9,2,723,2,45,1,2025,7,14
Urban,3,3,10,0,978,1,4,2,2025,7,15
Urban,10,10,2,1,495,0,35,1,2025,7,16
Urban,2,1,9,0,611,5,8,2,2025,7,17
Urban,3,6,9,2,35,2,40,1,2025,7,18
Semi-Urban,10,2,5,0,379,5,47,1,2025,7,19
Urban,1,1,1,2,506,3,36,1,2025,7,20
Urban,5,2,7,2,857,1,6,1,2025,7,21
Rural,5,6,10,1,725,1,22,1,2025,7,22
Urban,7,4,10,2,521,4,6,1,2025,7,23
Semi-Urban,4,6,4,2,160,5,42,1,2025,7,24
Semi-Urban,3,9,9,2,639,1,36,2,2025,7,25
Urban,1,10,6,2,834,0,9,1,2025,7,26
Semi-Urban,8,10,3,2,796,1,16,1,2025,7,27
Rural,3,8,6,2,466,7,39,1,2025,7,28
Rural,2,1,10,1,309,4,46,2,2025,7,29
Urban,4,8,6,2,228,5,38,1,2025,7,30
Rural,3,9,5,2,494,2,33,1,2025,7,31
Semi-Urban,1,6,2,2,432,4,18,1,2025,8,1
Urban,3,10,10,2,696,4,12,1,2025,8,2
Semi-Urban,2,5,10,0,446,0,27,2,2025,8,3
Rural,8,6,2,2,873,3,47,1,2025,8,4
Semi-Urban,6,6,7,2,390,3,1,1,2025,8,5
Urban,9,9,2,2,851,5,15,0,2025,8,6
Semi-Urban,8,4,6,1,683,3,47,1,2025,8,7
Urban,10,2,5,1,986,5,27,1,2025,8,8
Urban,3,9,4,2,309,4,16,1,2025,8,9
Urban,5,2,7,2,451,0,21,1,2025,8,10
Urban,7,10,8,2,287,2,1,1,2025,8,11
Urban,5,9,4,2,170,1,29,1,2025,8,12
Urban,8,2,1,2,738,3,3,0,2025,8,13
Semi-Urban,5,8,1,1,274,5,12,1,2025,8,14
Urban,1,9,1,2,372,6,28,1,2025,8,15
Urban,5,10,1,1,396,2,39,1,2025,8,16
Rural,4,9,5,2,672,2,37,1,2025,8,17
Semi-Urban,6,10,4,2,874,6,31,1,2025,8,18
Semi-Urban,3,9,9,2,377,9,31,2,2025,8,19
Urban,5,2,3,2,627,3,33,1,2025,8,20
Urban,2,4,7,2,960,0,33,1,2025,8,21
Urban,6,7,8,2,389,3,47,1,2025,8,22
Urban,6,2,6,2,246,1,40,1,2025,8,23
Urban,5,1,10,2,724,3,11,1,2025,8,24
Urban,6,3,1,2,322,3,46,1,2025,8,25
Urban,7,4,8,2,845,2,29,1,2025,8,26
Urban,5,8,10,2,408,0,25,1,2025,8,27
Semi-Urban,1,6,3,2,396,4,13,1,2025,8,28
Urban,8,2,8,2,992,3,44,1,2025,8,29
Urban,4,9,4,2,137,2,19,1,2025,8,30
Semi-Urban,9,2,8,1,24,1,36,1,2025,8,31
Semi-Urban,10,5,1,1,463,3,28,0,2025,9,1
Urban,6,4,3,2,371,0,4,0,2025,9,2
Semi-Urban,1,7,6,2,774,4,3,1,2025,9,3
Semi-Urban,3,8,9,2,552,4,38,2,2025,9,4
Urban,3,5,2,1,683,1,37,1,2025,9,5
Rural,10,10,1,2,659,3,43,1,2025,9,6
Rural,4,5,10,2,143,3,25,1,2025,9,7
Urban,6,2,3,1,677,3,41,1,2025,9,8
Urban,7,8,4,2,296,6,35,1,2025,9,9
Rural,10,2,5,2,841,5,29,0,2025,9,10
Semi-Urban,4,10,3,2,413,5,41,1,2025,9,11
Urban,6,6,10,2,683,3,29,1,2025,9,12
Urban,1,8,2,1,379,2,12,1,2025,9,13
Urban,8,6,2,1,642,5,35,1,2025,9,14
Semi-Urban,7,4,7,2,488,5,20,1,2025,9,15
Semi-Urban,9,4,9,2,647,6,17,1,2025,9,16
Urban,3,6,10,2,719,1,12,1,2025,9,17
Semi-Urban,2,4,2,2,76,4,36,1,2025,9,18
Semi-Urban,1,8,7,2,270,1,10,1,2025,9,19
Urban,3,9,7,2,915,1,18,1,2025,9,20
Urban,5,1,7,2,938,4,30,1,2025,9,21
Semi-Urban,2,4,3,2,169,5,8,1,2025,9,22
Rural,3,4,7,2,471,2,41,1,2025,9,23
Semi-Urban,4,2,1,2,181,1,13,0,2025,9,24
Semi-Urban,7,6,10,2,139,5,31,1,2025,9,25
Urban,3,3,1,2,601,5,6,0,2025,9,26
Urban,9,7,5,2,943,1,7,0,2025,9,27
Semi-Urban,8,5,2,2,370,3,21,0,2025,9,28
Urban,4,4,9,2,118,7,38,1,2025,9,29
Urban,1,5,7,2,186,3,43,1,2025,9,30
Urban,1,8,4,2,829,2,28,1,2025,10,1
Urban,1,3,4,2,682,2,44,1,2025,10,2
Urban,1,7,2,2,857,5,21,1,2025,10,3
Urban,8,6,5,1,995,2,21,1,2025,10,4
Urban,3,1,4,2,533,2,24,1,2025,10,5
Urban,6,7,1,2,683,3,27,1,2025,10,6
Rural,3,7,8,2,420,2,27,1,2025,10,7
Semi-Urban,5,1,3,2,384,3,13,0,2025,10,8
Semi-Urban,7,9,6,2,596,2,29,1,2025,10,9
Semi-Urban,2,6,4,2,345,2,39,1,2025,10,10
Semi-Urban,6,2,9,2,600,0,28,1,2025,10,11
Urban,6,5,7,2,652,7,37,1,2025,10,12
Semi-Urban,3,4,9,2,640,5,29,1,2025,10,13
Semi-Urban,6,7,10,2,847,1,48,1,2025,10,14
Semi-Urban,10,8,3,1,266,1,22,1,2025,10,15
Urban,10,1,1,2,453,2,36,0,2025,10,16
Urban,5,5,5,1,112,3,30,1,2025,10,17
Urban,2,3,3,1,287,2,28,1,2025,10,18
Urban,9,1,6,2,634,3,23,0,2025,10,19
Semi-Urban,8,3,8,2,962,4,33,1,2025,10,20
Semi-Urban,3,6,4,2,982,3,4,1,2025,10,21
Urban,8,7,5,1,643,9,3,1,2025,10,22
Rural,9,8,5,1,340,3,32,1,2025,10,23
Semi-Urban,3,4,4,2,942,4,4,1,2025,10,24
Urban,3,3,4,1,835,1,1,1,2025,10,25
Urban,2,5,4,2,875,4,12,1,2025,10,26
Urban,8,9,4,2,81,1,13,0,2025,10,27
Urban,10,6,4,0,319,4,34,1,2025,10,28
Urban,1,9,5,1,422,2,29,2,2025,10,29
Urban,8,6,2,2,974,5,9,0,2025,10,30
Urban,7,2,2,1,667,3,31,1,2025,10,31
Urban,7,5,9,0,586,4,7,1,2025,11,1
Rural,3,9,2,1,639,1,13,1,2025,11,2
Urban,1,8,6,1,322,2,2,1,2025,11,3
Semi-Urban,4,7,2,1,789,3,33,1,2025,11,4
Urban,9,1,5,2,272,6,7,0,2025,11,5
Rural,5,4,4,1,753,5,18,1,2025,11,6
Urban,1,7,7,2,497,4,8,1,2025,11,7
Urban,5,7,7,1,388,3,12,1,2025,11,8
Rural,8,6,6,2,698,5,43,1,2025,11,9
Rural,8,8,10,2,960,3,30,1,2025,11,10
Rural,5,6,5,2,179,3,9,1,2025,11,11
Urban,9,10,1,2,980,5,28,1,2025,11,12
Urban,1,3,3,2,185,5,4,1,2025,11,13
Semi-Urban,4,4,9,0,224,3,39,2,2025,11,14
Rural,3,3,1,0,286,4,17,1,2025,11,15
Semi-Urban,2,1,5,2,157,2,11,0,2025,11,16
Semi-Urban,8,10,2,0,387,2,2,1,2025,11,17
Urban,7,5,4,1,462,1,23,1,2025,11,18
Semi-Urban,9,1,1,2,877,3,22,0,2025,11,19
Urban,2,1,3,2,779,4,26,1,2025,11,20
Urban,4,2,10,0,586,1,12,1,2025,11,21
Urban,6,4,7,2,935,3,32,1,2025,11,22
Semi-Urban,3,6,10,1,740,5,9,2,2025,11,23
Urban,8,8,3,1,36,1,43,1,2025,11,24
Urban,3,3,4,1,87,4,5,1,2025,11,25
Semi-Urban,2,1,2,2,152,1,26,0,2025,11,26
Urban,3,3,3,2,719,9,7,1,2025,11,27
Semi-Urban,6,3,9,2,938,2,29,1,2025,11,28
Urban,2,5,3,2,449,0,33,1,2025,11,29
Semi-Urban,8,4,5,2,327,2,24,0,2025,11,30
Semi-Urban,1,4,2,2,669,3,25,1,2025,12,1
Urban,7,9,4,2,193,1,31,1,2025,12,2
Urban,2,7,7,1,431,2,29,2,2025,12,3
Urban,10,4,7,2,116,4,5,0,2025,12,4
Urban,6,3,3,2,702,1,38,1,2025,12,5
Rural,2,6,5,2,173,2,45,1,2025,12,6
Urban,2,3,1,2,714,2,11,1,2025,12,7
Rural,10,6,10,2,261,0,32,1,2025,12,8
Urban,8,9,10,1,323,2,8,1,2025,12,9
Semi-Urban,2,6,10,2,304,4,20,1,2025,12,10
Semi-Urban,7,4,1,1,46,5,34,1,2025,12,11
Semi-Urban,3,5,5,2,421,3,47,1,2025,12,12
Semi-Urban,8,6,10,1,379,6,42,2,2025,12,13
Urban,7,3,9,1,79,2,8,1,2025,12,14
Urban,8,8,1,0,221,3,2,1,2025,12,15
Rural,7,4,1,1,781,4,21,1,2025,12,16
Rural,6,8,4,0,893,5,15,2,2025,12,17
Rural,7,10,4,1,600,1,6,1,2025,12,18
Urban,5,10,2,2,989,3,5,1,2025,12,19
Semi-Urban,7,3,9,2,389,1,3,0,2025,12,20
Rural,1,10,9,2,552,4,43,2,2025,12,21
Urban,1,7,2,2,171,4,43,1,2025,12,22
Urban,9,9,9,2,121,3,16,1,2025,12,23
Semi-Urban,5,4,6,2,918,1,35,1,2025,12,24
Semi-Urban,5,8,8,1,626,3,9,1,2025,12,25
Rural,3,3,10,0,465,0,35,2,2025,12,26
Urban,5,7,4,2,892,2,19,1,2025,12,27
Semi-Urban,3,3,2,2,248,2,43,1,2025,12,28
Urban,9,7,2,0,144,8,46,1,2025,12,29
Urban,9,10,9,2,789,0,34,1,2025,12,30
Urban,6,10,1,1,853,0,39,1,2025,12,31
Rural,1,6,7,2,900,4,10,1,2026,1,1
Semi-Urban,7,2,3,2,957,1,10,0,2026,1,2
Semi-Urban,7,3,3,2,255,0,20,0,2026,1,3
Urban,10,6,2,1,181,4,1,0,2026,1,4
Rural,10,4,10,2,573,5,6,0,2026,1,5
Urban,4,6,6,2,807,4,46,1,2026,1,6
Rural,8,1,10,2,372,3,2,0,2026,1,7
Urban,6,10,2,2,87,5,38,1,2026,1,8
Urban,4,1,10,0,192,3,33,2,2026,1,9
Semi-Urban,4,3,4,1,862,1,3,1,2026,1,10
Urban,2,8,10,2,656,1,36,2,2026,1,11
Semi-Urban,2,8,9,2,701,0,13,1,2026,1,12
Semi-Urban,4,4,9,2,578,5,35,1,2026,1,13
Urban,5,6,6,1,280,3,15,1,2026,1,14
Rural,8,8,4,1,236,2,45,1,2026,1,15
Urban,6,7,7,2,836,2,22,1,2026,1,16
Semi-Urban,4,7,1,1,143,4,43,1,2026,1,17
Rural,7,4,4,2,824,3,4,0,2026,1,18
Semi-Urban,8,9,5,0,181,2,17,1,2026,1,19
Urban,2,10,8,0,220,3,5,2,2026,1,20
Rural,7,6,2,1,473,3,21,1,2026,1,21
Semi-Urban,2,3,5,1,421,2,24,1,2026,1,22
Urban,2,5,6,2,481,3,31,1,2026,1,23
Urban,8,5,5,1,294,2,40,1,2026,1,24
Semi-Urban,2,5,9,2,225,2,30,1,2026,1,25
Semi-Urban,9,8,10,2,59,3,42,1,2026,1,26
Semi-Urban,1,9,1,2,292,4,7,1,2026,1,27
Rural,9,9,3,1,719,5,7,1,2026,1,28
Semi-Urban,1,6,2,2,886,4,27,1,2026,1,29
Urban,10,6,3,2,112,3,24,0,2026,1,30
Urban,10,9,10,2,61,5,19,1,2026,1,31
Urban,2,4,9,2,484,2,41,1,2026,2,1
Semi-Urban,6,6,9,2,398,4,34,1,2026,2,2
Urban,6,4,10,1,126,3,22,1,2026,2,3
Semi-Urban,1,1,2,1,347,4,27,1,2026,2,4
Semi-Urban,7,7,3,2,84,4,6,0,2026,2,5
Rural,8,10,4,1,384,1,10,1,2026,2,6
Urban,2,6,9,1,840,2,45,2,2026,2,7
Rural,8,9,3,2,503,4,31,1,2026,2,8
Urban,9,7,7,1,666,3,25,1,2026,2,9
Rural,6,7,3,0,920,3,2,1,2026,2,10
Urban,5,2,7,2,43,6,10,1,2026,2,11
Urban,9,9,7,2,559,4,10,1,2026,2,12
Semi-Urban,9,10,9,0,81,6,26,2,2026,2,13
Urban,1,9,2,2,510,4,5,1,2026,2,14
Urban,3,6,6,2,292,1,22,1,2026,2,15
Semi-Urban,9,3,9,2,248,4,4,0,2026,2,16
Semi-Urban,2,1,2,2,39,3,34,1,2026,2,17
Semi-Urban,4,4,2,1,22,5,7,1,2026,2,18
Semi-Urban,4,3,5,2,440,3,17,1,2026,2,19
Semi-Urban,2,1,10,2,749,2,11,1,2026,2,20
Urban,3,3,10,2,930,1,8,1,2026,2,21
Urban,3,4,10,2,326,2,28,1,2026,2,22
Urban,1,8,8,2,451,5,44,2,2026,2,23
Rural,6,9,9,2,155,2,33,1,2026,2,24
Semi-Urban,8,3,2,1,928,5,25,1,2026,2,25
Urban,3,6,5,2,963,4,21,1,2026,2,26
Semi-Urban,5,10,7,2,534,1,12,1,2026,2,27
Rural,1,5,6,2,212,2,26,1,2026,2,28
Urban,10,6,6,2,604,1,29,1,2026,3,1
Semi-Urban,7,4,7,2,434,2,38,1,2026,3,2
Semi-Urban,10,10,3,2,892,2,35,1,2026,3,3
Semi-Urban,1,6,3,1,137,3,37,1,2026,3,4
Urban,9,7,10,2,685,3,46,1,2026,3,5
Rural,8,9,9,1,228,6,44,2,2026,3,6
Rural,7,10,8,2,971,6,45,2,2026,3,7
Semi-Urban,10,7,5,0,53,2,45,1,2026,3,8
Semi-Urban,7,6,6,2,668,4,29,1,2026,3,9
Rural,5,1,10,1,337,5,24,1,2026,3,10
Semi-Urban,5,2,1,2,139,3,15,0,2026,3,11
Urban,5,1,10,2,646,3,6,1,2026,3,12
Semi-Urban,1,9,1,2,544,3,32,1,2026,3,13
Semi-Urban,8,10,4,0,600,5,44,2,2026,3,14
Urban,1,10,2,2,956,2,34,1,2026,3,15
Semi-Urban,4,9,7,2,864,3,36,1,2026,3,16
Rural,9,7,2,1,788,3,20,1,2026,3,17
Rural,9,2,10,2,108,3,12,0,2026,3,18
Semi-Urban,5,6,2,1,531,2,35,1,2026,3,19
Urban,4,4,5,2,66,3,38,1,2026,3,20
Rural,3,1,4,1,791,2,17,1,2026,3,21
Rural,3,1,8,2,759,5,27,1,2026,3,22
Urban,5,5,4,2,978,4,17,1,2026,3,23
Rural,10,2,6,2,711,4,11,0,2026,3,24
Rural,1,4,5,1,541,2,39,2,2026,3,25
Semi-Urban,5,1,2,2,303,3,2,0,2026,3,26
Semi-Urban,6,4,8,2,396,5,2,1,2026,3,27
Urban,7,6,2,0,657,2,29,1,2026,3,28
Urban,9,10,9,2,153,5,45,1,2026,3,29
Urban,3,4,9,1,686,0,24,1,2026,3,30
Rural,2,1,3,0,267,2,24,1,2026,3,31
Urban,3,7,4,1,671,0,16,1,2026,4,1
Urban,9,2,8,1,337,1,31,1,2026,4,2
Urban,7,9,9,2,455,3,43,1,2026,4,3
Semi-Urban,9,3,3,2,195,4,9,0,2026,4,4
Rural,2,8,5,1,854,3,27,2,2026,4,5
Urban,5,8,8,2,705,6,41,2,2026,4,6
Urban,4,3,3,2,605,3,14,1,2026,4,7
Semi-Urban,2,4,7,1,370,3,45,2,2026,4,8
Semi-Urban,9,2,8,2,162,5,25,0,2026,4,9
Urban,9,4,10,0,986,5,43,2,2026,4,10
Semi-Urban,6,9,3,1,823,1,44,1,2026,4,11
Urban,6,2,2,1,417,3,22,1,2026,4,12
Urban,8,3,10,1,643,3,35,1,2026,4,13
Semi-Urban,6,4,7,1,737,4,33,1,2026,4,14
Urban,1,5,9,1,662,6,27,2,2026,4,15
Rural,4,1,1,2,388,4,40,1,2026,4,16
Urban,7,7,3,2,520,5,26,1,2026,4,17
Semi-Urban,2,10,5,1,641,4,19,2,2026,4,18
Semi-Urban,9,7,3,1,389,3,45,1,2026,4,19
Urban,8,9,1,2,598,2,39,1,2026,4,20
Semi-Urban,8,4,7,2,401,3,45,1,2026,4,21
Urban,7,6,7,2,105,2,26,1,2026,4,22
Rural,4,2,10,2,806,4,6,1,2026,4,23
Urban,2,4,8,0,758,3,3,2,2026,4,24
Urban,3,2,5,0,479,2,6,1,2026,4,25
Urban,6,10,10,2,969,4,28,2,2026,4,26
Rural,5,5,5,2,344,1,3,0,2026,4,27
Semi-Urban,8,7,5,2,541,3,13,0,2026,4,28
Semi-Urban,6,1,1,1,508,3,13,0,2026,4,29
Urban,6,10,10,2,948,3,13,1,2026,4,30
Semi-Urban,1,10,5,2,416,4,1,1,2026,5,1
Urban,4,7,6,2,915,0,40,1,2026,5,2
Rural,5,10,1,2,374,2,37,1,2026,5,3
Urban,3,6,7,2,966,2,31,1,2026,5,4
Urban,9,6,1,2,307,2,17,0,2026,5,5
Urban,1,8,2,2,478,5,9,1,2026,5,6
Semi-Urban,6,8,2,2,643,2,45,1,2026,5,7
Semi-Urban,6,6,5,2,555,2,13,1,2026,5,8
Urban,10,3,10,1,310,2,37,1,2026,5,9
Semi-Urban,5,5,7,1,870,3,14,1,2026,5,10
Semi-Urban,5,2,1,1,857,3,11,1,2026,5,11
Semi-Urban,10,5,10,0,187,5,25,1,2026,5,12
Urban,5,9,1,2,969,3,31,1,2026,5,13
Urban,6,10,1,2,640,2,14,1,2026,5,14
Semi-Urban,8,1,6,2,447,6,7,0,2026,5,15
Urban,2,10,2,1,721,5,24,2,2026,5,16
Urban,6,5,1,0,509,4,36,1,2026,5,17
Rural,1,6,6,2,374,3,42,1,2026,5,18
Rural,4,7,2,2,215,3,42,1,2026,5,19
Urban,10,9,6,2,564,1,47,1,2026,5,20
Urban,3,6,10,1,736,2,44,2,2026,5,21
Semi-Urban,9,5,8,2,843,5,41,1,2026,5,22
Urban,3,7,2,2,951,2,3,1,2026,5,23
Urban,6,1,9,2,713,5,47,1,2026,5,24
Urban,1,5,8,2,678,5,44,2,2026,5,25
Semi-Urban,6,2,10,1,958,2,26,1,2026,5,26
Semi-Urban,4,4,1,2,799,5,47,1,2026,5,27
Urban,8,7,7,1,30,5,26,1,2026,5,28
Urban,9,5,10,2,601,2,1,0,2026,5,29
Urban,4,6,6,1,275,4,15,1,2026,5,30
Semi-Urban,10,2,6,1,415,1,11,0,2026,5,31
Urban,10,3,6,2,750,3,37,1,2026,6,1
Urban,6,7,6,2,828,6,7,1,2026,6,2
Semi-Urban,1,2,10,1,428,4,12,1,2026,6,3
Urban,4,6,7,2,381,2,38,1,2026,6,4
Semi-Urban,7,5,3,1,278,6,3,1,2026,6,5
Urban,1,10,6,1,22,5,42,2,2026,6,6
Urban,8,1,3,1,103,4,26,0,2026,6,7
Urban,10,10,7,2,175,7,30,1,2026,6,8
Semi-Urban,6,4,7,2,682,5,32,1,2026,6,9
Rural,5,2,8,2,195,4,36,1,2026,6,10
Rural,10,4,2,2,726,3,45,0,2026,6,11
Urban,9,1,9,1,957,2,37,1,2026,6,12
Semi-Urban,2,2,5,1,491,3,18,1,2026,6,13
Urban,5,8,9,2,638,3,1,1,2026,6,14
Urban,6,6,10,1,443,3,21,1,2026,6,15
Rural,7,2,5,2,153,3,28,0,2026,6,16
Urban,5,6,7,2,807,0,48,1,2026,6,17
Urban,9,10,9,0,926,6,16,2,2026,6,18
Urban,1,9,4,0,883,3,48,2,2026,6,19
Urban,7,7,2,2,399,4,28,1,2026,6,20
Urban,10,9,9,0,686,0,22,1,2026,6,21
Semi-Urban,7,5,2,2,296,1,19,0,2026,6,22
Urban,4,7,3,2,255,2,48,1,2026,6,23
Rural,9,7,10,2,771,1,1,1,2026,6,24
Rural,5,3,2,0,901,4,31,1,2026,6,25
Urban,4,7,3,2,32,2,42,1,2026,6,26
Urban,7,1,6,2,361,4,34,1,2026,6,27
Urban,4,9,3,2,54,4,46,1,2026,6,28
Semi-Urban,3,10,10,1,578,2,40,2,2026,6,29
Urban,9,6,8,2,233,5,6,0,2026,6,30
Semi-Urban,8,5,6,2,431,5,28,1,2026,7,1
Urban,1,7,7,2,424,1,3,1,2026,7,2
Semi-Urban,7,5,1,2,513,5,31,1,2026,7,3
Urban,9,10,3,1,677,2,16,1,2026,7,4
Urban,8,5,3,2,178,1,17,0,2026,7,5
Rural,8,10,2,1,975,5,44,1,2026,7,6
Semi-Urban,6,7,7,2,656,6,27,1,2026,7,7
Urban,4,10,9,1,129,1,24,2,2026,7,8
Rural,8,7,4,2,568,5,20,1,2026,7,9
Semi-Urban,3,3,5,2,808,3,32,1,2026,7,10
Rural,9,3,3,2,545,0,35,0,2026,7,11
Semi-Urban,2,10,9,1,366,1,13,2,2026,7,12
Urban,2,3,4,1,763,5,48,2,2026,7,13
Urban,7,6,5,2,847,2,43,1,2026,7,14
Urban,10,6,1,1,655,3,20,0,2026,7,15
Semi-Urban,4,3,2,2,298,3,48,1,2026,7,16
Semi-Urban,10,3,9,2,498,4,2,0,2026,7,17
Urban,8,8,2,2,130,3,4,0,2026,7,18
Urban,9,8,5,2,655,4,27,1,2026,7,19
Rural,7,7,8,1,944,3,25,1,2026,7,20
Rural,5,10,3,2,450,7,4,1,2026,7,21
Semi-Urban,8,4,6,2,561,3,32,1,2026,7,22
Urban,4,4,4,2,134,3,17,1,2026,7,23
Urban,2,3,7,2,109,1,1,1,2026,7,24
Urban,6,5,10,2,231,3,33,1,2026,7,25
Rural,9,3,3,2,569,2,30,0,2026,7,26
Urban,1,8,6,2,614,5,5,1,2026,7,27
Semi-Urban,10,7,10,2,558,6,12,1,2026,7,28
Urban,7,3,9,2,748,4,38,1,2026,7,29
Semi-Urban,10,9,10,2,379,4,32,1,2026,7,30
Semi-Urban,9,5,1,2,505,2,38,0,2026,7,31
Rural,10,9,3,2,391,3,17,0,2026,8,1
Urban,9,7,2,2,234,5,45,1,2026,8,2
Urban,10,7,8,2,752,2,40,1,2026,8,3
Urban,3,6,7,2,34,3,32,1,2026,8,4
Rural,5,2,2,2,974,3,24,1,2026,8,5
Rural,8,9,6,2,278,3,12,1,2026,8,6
Semi-Urban,8,6,3,2,797,4,47,1,2026,8,7
Semi-Urban,4,8,8,2,482,3,31,1,2026,8,8
Semi-Urban,1,1,10,0,139,0,19,2,2026,8,9
Urban,1,5,3,2,995,3,29,1,2026,8,10
Rural,4,1,10,2,932,2,21,1,2026,8,11
Urban,6,10,9,1,147,6,26,2,2026,8,12
Urban,8,8,1,2,742,1,28,0,2026,8,13
Semi-Urban,6,8,5,1,542,2,17,1,2026,8,14
Urban,9,1,3,2,707,2,9,0,2026,8,15
Urban,9,9,6,0,664,1,21,1,2026,8,16
Semi-Urban,2,2,10,2,344,4,34,1,2026,8,17
Urban,10,9,2,2,339,5,11,0,2026,8,18
Semi-Urban,1,1,9,1,525,2,20,1,2026,8,19
Urban,2,10,6,2,545,4,47,2,2026,8,20
Urban,5,9,7,2,69,4,39,1,2026,8,21
Urban,4,4,5,1,941,3,16,1,2026,8,22
Urban,4,9,9,2,603,4,29,1,2026,8,23
Semi-Urban,9,7,1,2,88,2,1,0,2026,8,24
Urban,8,6,5,2,410,2,18,0,2026,8,25
Semi-Urban,6,5,10,2,402,3,22,1,2026,8,26
Semi-Urban,1,9,6,1,35,3,8,1,2026,8,27
Semi-Urban,2,2,7,0,458,2,7,1,2026,8,28
Rural,6,2,4,2,865,2,25,1,2026,8,29
Semi-Urban,2,9,1,2,888,6,30,1,2026,8,30
Urban,10,3,8,2,587,2,34,1,2026,8,31
Urban,5,8,10,2,636,4,44,2,2026,9,1
Urban,5,9,4,0,151,2,48,2,2026,9,2
Semi-Urban,6,8,3,2,579,4,41,1,2026,9,3
Urban,6,4,7,2,267,3,11,1,2026,9,4
Semi-Urban,6,1,2,1,292,0,15,0,2026,9,5
