facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,inspection_date,risk_level
F0392,Urban,8,7,7,Available,308,3,29,2025-01-26,Medium
F0393,Urban,5,10,6,Available,508,2,10,2025-01-27,Medium
F0394,Semi-Urban,1,3,6,Available,511,2,5,2025-01-28,Medium
F0395,Urban,9,9,2,Limited,631,2,11,2025-01-29,Medium
F0396,Rural,1,7,6,Available,271,4,4,2025-01-30,Medium
F0397,Rural,8,1,4,Unavailable,96,2,35,2025-01-31,Medium
F0398,Urban,5,2,9,Limited,666,3,40,2025-02-01,Medium
F0399,Semi-Urban,3,1,1,Available,411,4,12,2025-02-02,Low
F0400,Semi-Urban,7,9,8,Limited,431,3,21,2025-02-03,Medium
F0401,Urban,7,9,5,Available,192,5,16,2025-02-04,Medium
F0402,Rural,9,7,1,Available,894,1,14,2025-02-05,Low
F0403,Semi-Urban,7,10,4,Unavailable,220,6,21,2025-02-06,Medium
F0404,Rural,3,3,1,Available,236,3,48,2025-02-07,Medium
F0405,Urban,1,5,6,Available,395,4,27,2025-02-08,Medium
F0406,Rural,8,4,2,Available,739,4,36,2025-02-09,Medium
F0407,Urban,3,7,5,Available,605,4,1,2025-02-10,Medium
F0408,Urban,8,9,7,Unavailable,30,2,1,2025-02-11,Medium
F0409,Rural,8,2,2,Available,818,6,22,2025-02-12,Low
F0410,Urban,5,8,6,Available,787,1,15,2025-02-13,Medium
F0411,Urban,1,9,6,Available,31,6,20,2025-02-14,Medium
F0412,Rural,10,10,5,Available,911,3,3,2025-02-15,Low
F0413,Rural,7,10,5,Available,609,3,14,2025-02-16,Medium
F0414,Semi-Urban,10,9,3,Available,454,2,9,2025-02-17,Low
F0415,Semi-Urban,5,10,10,Available,703,3,19,2025-02-18,Medium
F0416,Urban,8,7,10,Available,627,5,40,2025-02-19,Medium
F0417,Urban,9,9,2,Unavailable,837,4,34,2025-02-20,Medium
F0418,Urban,7,9,7,Available,392,4,4,2025-02-21,Medium
F0419,Semi-Urban,7,3,1,Limited,292,2,33,2025-02-22,Medium
F0420,Semi-Urban,1,4,6,Limited,950,4,43,2025-02-23,High
F0421,Semi-Urban,4,2,6,Limited,916,5,37,2025-02-24,Medium
F0422,Semi-Urban,2,10,3,Limited,944,3,2,2025-02-25,Medium
F0423,Urban,2,3,2,Available,710,5,27,2025-02-26,Medium
F0424,Semi-Urban,2,5,2,Available,595,1,45,2025-02-27,Medium
F0425,Urban,4,5,9,Available,528,4,17,2025-02-28,Medium
F0426,Semi-Urban,1,6,5,Available,151,3,31,2025-03-01,Medium
F0427,Urban,4,7,7,Limited,874,6,41,2025-03-02,High
F0428,Rural,2,7,5,Available,943,4,6,2025-03-03,Medium
F0429,Urban,5,1,7,Limited,803,3,31,2025-03-04,Medium
F0430,Urban,3,2,4,Available,338,2,3,2025-03-05,Low
F0431,Urban,8,9,8,Unavailable,863,3,40,2025-03-06,High
F0432,Semi-Urban,4,10,10,Available,968,3,3,2025-03-07,Medium
F0433,Semi-Urban,1,2,10,Available,872,1,33,2025-03-08,Medium
F0434,Urban,1,6,7,Available,640,2,13,2025-03-09,Medium
F0435,Urban,10,1,10,Limited,804,3,21,2025-03-10,Medium
F0436,Semi-Urban,3,3,5,Available,187,4,37,2025-03-11,Medium
F0437,Urban,9,2,6,Unavailable,416,3,16,2025-03-12,Medium
F0438,Rural,7,3,5,Unavailable,199,1,21,2025-03-13,Medium
F0439,Semi-Urban,2,5,7,Limited,77,1,48,2025-03-14,High
F0440,Urban,9,10,2,Available,499,1,44,2025-03-15,Medium
F0441,Urban,10,6,5,Limited,952,4,13,2025-03-16,Medium
F0442,Rural,2,9,10,Limited,610,2,4,2025-03-17,High
F0443,Urban,3,10,3,Available,479,4,31,2025-03-18,Medium
F0444,Urban,10,4,9,Available,80,2,9,2025-03-19,Low
F0445,Rural,2,7,6,Available,388,3,48,2025-03-20,Medium
F0446,Rural,3,6,10,Available,140,5,33,2025-03-21,Medium
F0447,Rural,6,2,3,Available,738,4,37,2025-03-22,Medium
F0448,Semi-Urban,9,10,7,Unavailable,565,3,37,2025-03-23,High
F0449,Urban,9,8,4,Available,601,1,24,2025-03-24,Low
F0450,Urban,7,7,3,Available,36,4,25,2025-03-25,Low
F0451,Semi-Urban,3,7,8,Unavailable,515,4,41,2025-03-26,High
F0452,Semi-Urban,4,8,4,Available,516,3,29,2025-03-27,Medium
F0453,Urban,6,1,1,Limited,524,4,40,2025-03-28,Medium
F0454,Rural,5,1,6,Available,551,4,47,2025-03-29,Medium
F0455,Urban,2,8,10,Available,988,3,36,2025-03-30,High
F0456,Semi-Urban,6,4,1,Available,334,1,15,2025-03-31,Low
F0457,Urban,3,5,5,Available,88,1,45,2025-04-01,Medium
F0458,Semi-Urban,8,8,7,Available,746,4,18,2025-04-02,Medium
F0459,Urban,2,5,6,Limited,180,4,20,2025-04-03,Medium
F0460,Urban,1,10,2,Available,633,3,5,2025-04-04,Medium
F0461,Urban,9,4,4,Limited,907,2,18,2025-04-05,Medium
F0462,Semi-Urban,3,6,2,Available,737,3,40,2025-04-06,Medium
F0463,Semi-Urban,1,5,1,Available,164,3,1,2025-04-07,Low
F0464,Semi-Urban,7,7,3,Available,588,4,19,2025-04-08,Medium
F0465,Rural,10,10,3,Available,614,3,23,2025-04-09,Low
F0466,Urban,5,7,7,Limited,404,0,26,2025-04-10,Medium
F0467,Urban,5,4,1,Unavailable,288,5,29,2025-04-11,Medium
F0468,Rural,1,5,9,Limited,942,2,34,2025-04-12,High
F0469,Urban,9,3,6,Available,473,2,19,2025-04-13,Low
F0470,Rural,7,4,4,Available,718,3,48,2025-04-14,Medium
F0471,Urban,8,4,3,Available,537,2,18,2025-04-15,Low
F0472,Rural,9,3,3,Limited,884,2,2,2025-04-16,Low
F0473,Urban,6,10,2,Available,369,2,27,2025-04-17,Medium
F0474,Rural,5,5,2,Available,129,1,6,2025-04-18,Low
F0475,Semi-Urban,6,5,10,Available,502,3,39,2025-04-19,Medium
F0476,Rural,2,7,5,Available,426,4,6,2025-04-20,Medium
F0477,Urban,4,4,9,Available,669,1,6,2025-04-21,Medium
F0478,Semi-Urban,3,4,2,Available,70,2,31,2025-04-22,Medium
F0479,Rural,7,9,2,Limited,422,3,41,2025-04-23,Medium
F0480,Semi-Urban,9,6,6,Unavailable,582,2,40,2025-04-24,Medium
F0481,Semi-Urban,5,4,10,Available,495,4,30,2025-04-25,Medium
F0482,Semi-Urban,6,2,2,Available,106,0,21,2025-04-26,Low
F0483,Semi-Urban,10,6,4,Available,87,4,41,2025-04-27,Low
F0484,Semi-Urban,2,2,6,Unavailable,615,2,44,2025-04-28,High
F0485,Semi-Urban,3,5,5,Unavailable,998,7,18,2025-04-29,High
F0486,Rural,3,6,1,Unavailable,61,4,23,2025-04-30,Medium
F0487,Urban,9,4,6,Limited,750,2,38,2025-05-01,Medium
F0488,Urban,7,3,1,Available,76,2,23,2025-05-02,Low
F0489,Rural,8,7,3,Limited,757,6,28,2025-05-03,Medium
F0490,Rural,10,2,10,Available,215,2,36,2025-05-04,Medium
F0491,Semi-Urban,9,6,5,Available,779,8,25,2025-05-05,Medium
F0492,Semi-Urban,6,4,10,Limited,697,3,7,2025-05-06,Medium
F0493,Urban,4,6,5,Available,81,2,18,2025-05-07,Medium
F0494,Urban,1,4,10,Available,282,2,20,2025-05-08,Medium
F0495,Semi-Urban,8,4,6,Available,131,4,5,2025-05-09,Low
F0496,Urban,7,4,10,Available,784,4,18,2025-05-10,Medium
F0497,Semi-Urban,2,9,8,Limited,730,6,42,2025-05-11,High
F0498,Urban,8,7,5,Available,197,4,40,2025-05-12,Medium
F0499,Rural,5,3,1,Available,967,4,33,2025-05-13,Medium
F0500,Rural,7,3,5,Available,45,5,15,2025-05-14,Low
F0501,Semi-Urban,4,6,3,Available,429,3,35,2025-05-15,Medium
F0502,Semi-Urban,5,6,4,Available,777,2,47,2025-05-16,Medium
F0503,Urban,8,4,8,Available,550,3,46,2025-05-17,Medium
F0504,Rural,1,9,7,Available,796,2,1,2025-05-18,Medium
F0505,Semi-Urban,1,4,5,Limited,336,2,21,2025-05-19,Medium
F0506,Urban,4,9,2,Unavailable,551,8,8,2025-05-20,Medium
F0507,Rural,3,4,6,Available,125,2,7,2025-05-21,Medium
F0508,Rural,10,2,6,Available,768,4,41,2025-05-22,Medium
F0509,Rural,2,2,10,Available,837,8,44,2025-05-23,High
F0510,Semi-Urban,3,5,10,Limited,483,5,40,2025-05-24,High
F0511,Semi-Urban,1,4,6,Available,265,7,40,2025-05-25,Medium
F0512,Urban,1,7,9,Limited,100,3,30,2025-05-26,High
F0513,Rural,6,5,8,Limited,681,1,38,2025-05-27,Medium
F0514,Rural,5,6,8,Unavailable,928,2,35,2025-05-28,High
F0515,Urban,8,10,1,Unavailable,415,2,2,2025-05-29,Medium
F0516,Urban,2,4,5,Available,541,2,46,2025-05-30,Medium
F0517,Urban,4,2,7,Available,852,6,8,2025-05-31,Medium
F0518,Rural,8,10,6,Unavailable,755,2,38,2025-06-01,High
F0519,Rural,6,9,5,Available,945,5,4,2025-06-02,Medium
F0520,Urban,1,10,8,Available,283,2,37,2025-06-03,High
F0521,Semi-Urban,4,7,3,Available,680,4,21,2025-06-04,Medium
F0522,Urban,1,4,6,Available,809,5,13,2025-06-05,Medium
F0523,Rural,2,3,5,Limited,293,1,9,2025-06-06,Medium
F0524,Rural,5,10,8,Available,725,4,45,2025-06-07,High
F0525,Rural,8,3,4,Available,963,1,29,2025-06-08,Medium
F0526,Semi-Urban,8,9,8,Unavailable,191,5,41,2025-06-09,High
F0527,Urban,3,5,10,Limited,284,6,24,2025-06-10,High
F0528,Urban,4,3,2,Available,982,4,16,2025-06-11,Medium
F0529,Urban,10,5,9,Available,841,3,12,2025-06-12,Medium
F0530,Rural,6,2,9,Available,45,1,2,2025-06-13,Low
F0531,Rural,10,4,10,Available,488,1,19,2025-06-14,Low
F0532,Rural,3,10,10,Available,881,1,30,2025-06-15,High
F0533,Rural,2,2,6,Available,495,3,16,2025-06-16,Medium
F0534,Semi-Urban,6,2,4,Limited,375,2,24,2025-06-17,Medium
F0535,Semi-Urban,5,8,4,Available,45,0,13,2025-06-18,Low
F0536,Rural,10,1,6,Available,53,1,5,2025-06-19,Low
F0537,Rural,5,7,5,Available,283,6,23,2025-06-20,Medium
F0538,Urban,10,5,6,Available,157,4,38,2025-06-21,Medium
F0539,Semi-Urban,5,8,7,Limited,835,2,31,2025-06-22,High
F0540,Urban,10,1,7,Available,714,4,17,2025-06-23,Low
F0541,Rural,5,7,9,Available,894,5,3,2025-06-24,Medium
F0542,Semi-Urban,3,5,8,Available,773,0,26,2025-06-25,Medium
F0543,Urban,7,4,6,Unavailable,585,0,13,2025-06-26,Medium
F0544,Semi-Urban,6,7,6,Available,481,4,44,2025-06-27,Medium
F0545,Semi-Urban,4,10,5,Available,187,3,38,2025-06-28,Medium
F0546,Urban,2,2,1,Available,650,4,22,2025-06-29,Medium
F0547,Urban,9,1,9,Limited,674,1,21,2025-06-30,Medium
F0548,Semi-Urban,1,1,9,Available,100,3,29,2025-07-01,Medium
F0549,Semi-Urban,4,1,9,Available,776,4,45,2025-07-02,Medium
F0550,Semi-Urban,1,5,8,Available,933,2,46,2025-07-03,High
F0551,Semi-Urban,6,10,10,Available,883,5,39,2025-07-04,High
F0552,Rural,4,7,3,Limited,889,2,5,2025-07-05,Medium
F0553,Semi-Urban,5,2,1,Limited,426,4,14,2025-07-06,Medium
F0554,Semi-Urban,5,10,8,Available,593,2,18,2025-07-07,Medium
F0555,Rural,9,8,7,Available,65,3,4,2025-07-08,Low
F0556,Urban,1,4,5,Available,618,3,33,2025-07-09,Medium
F0557,Urban,2,3,10,Available,630,0,39,2025-07-10,Medium
F0558,Urban,6,10,7,Available,826,5,20,2025-07-11,Medium
F0559,Semi-Urban,5,8,10,Available,930,5,13,2025-07-12,Medium
F0560,Semi-Urban,7,2,4,Available,72,2,36,2025-07-13,Low
F0561,Semi-Urban,3,3,9,Available,723,2,45,2025-07-14,Medium
F0562,Urban,3,3,10,Unavailable,978,1,4,2025-07-15,High
F0563,Urban,10,10,2,Limited,495,0,35,2025-07-16,Medium
F0564,Urban,2,1,9,Unavailable,611,5,8,2025-07-17,High
F0565,Urban,3,6,9,Available,35,2,40,2025-07-18,Medium
F0566,Semi-Urban,10,2,5,Unavailable,379,5,47,2025-07-19,Medium
F0567,Urban,1,1,1,Available,506,3,36,2025-07-20,Medium
F0568,Urban,5,2,7,Available,857,1,6,2025-07-21,Medium
F0569,Rural,5,6,10,Limited,725,1,22,2025-07-22,Medium
F0570,Urban,7,4,10,Available,521,4,6,2025-07-23,Medium
F0571,Semi-Urban,4,6,4,Available,160,5,42,2025-07-24,Medium
F0572,Semi-Urban,3,9,9,Available,639,1,36,2025-07-25,High
F0573,Urban,1,10,6,Available,834,0,9,2025-07-26,Medium
F0574,Semi-Urban,8,10,3,Available,796,1,16,2025-07-27,Medium
F0575,Rural,3,8,6,Available,466,7,39,2025-07-28,Medium
F0576,Rural,2,1,10,Limited,309,4,46,2025-07-29,High
F0577,Urban,4,8,6,Available,228,5,38,2025-07-30,Medium
F0578,Rural,3,9,5,Available,494,2,33,2025-07-31,Medium
F0579,Semi-Urban,1,6,2,Available,432,4,18,2025-08-01,Medium
F0580,Urban,3,10,10,Available,696,4,12,2025-08-02,Medium
F0581,Semi-Urban,2,5,10,Unavailable,446,0,27,2025-08-03,High
F0582,Rural,8,6,2,Available,873,3,47,2025-08-04,Medium
F0583,Semi-Urban,6,6,7,Available,390,3,1,2025-08-05,Medium
F0584,Urban,9,9,2,Available,851,5,15,2025-08-06,Low
F0585,Semi-Urban,8,4,6,Limited,683,3,47,2025-08-07,Medium
F0586,Urban,10,2,5,Limited,986,5,27,2025-08-08,Medium
F0587,Urban,3,9,4,Available,309,4,16,2025-08-09,Medium
F0588,Urban,5,2,7,Available,451,0,21,2025-08-10,Medium
F0589,Urban,7,10,8,Available,287,2,1,2025-08-11,Medium
F0590,Urban,5,9,4,Available,170,1,29,2025-08-12,Medium
F0591,Urban,8,2,1,Available,738,3,3,2025-08-13,Low
F0592,Semi-Urban,5,8,1,Limited,274,5,12,2025-08-14,Medium
F0593,Urban,1,9,1,Available,372,6,28,2025-08-15,Medium
F0594,Urban,5,10,1,Limited,396,2,39,2025-08-16,Medium
F0595,Rural,4,9,5,Available,672,2,37,2025-08-17,Medium
F0596,Semi-Urban,6,10,4,Available,874,6,31,2025-08-18,Medium
F0597,Semi-Urban,3,9,9,Available,377,9,31,2025-08-19,High
F0598,Urban,5,2,3,Available,627,3,33,2025-08-20,Medium
F0599,Urban,2,4,7,Available,960,0,33,2025-08-21,Medium
F0600,Urban,6,7,8,Available,389,3,47,2025-08-22,Medium
F0601,Urban,6,2,6,Available,246,1,40,2025-08-23,Medium
F0602,Urban,5,1,10,Available,724,3,11,2025-08-24,Medium
F0603,Urban,6,3,1,Available,322,3,46,2025-08-25,Medium
F0604,Urban,7,4,8,Available,845,2,29,2025-08-26,Medium
F0605,Urban,5,8,10,Available,408,0,25,2025-08-27,Medium
F0606,Semi-Urban,1,6,3,Available,396,4,13,2025-08-28,Medium
F0607,Urban,8,2,8,Available,992,3,44,2025-08-29,Medium
F0608,Urban,4,9,4,Available,137,2,19,2025-08-30,Medium
F0609,Semi-Urban,9,2,8,Limited,24,1,36,2025-08-31,Medium
F0610,Semi-Urban,10,5,1,Limited,463,3,28,2025-09-01,Low
F0611,Urban,6,4,3,Available,371,0,4,2025-09-02,Low
F0612,Semi-Urban,1,7,6,Available,774,4,3,2025-09-03,Medium
F0613,Semi-Urban,3,8,9,Available,552,4,38,2025-09-04,High
F0614,Urban,3,5,2,Limited,683,1,37,2025-09-05,Medium
F0615,Rural,10,10,1,Available,659,3,43,2025-09-06,Medium
F0616,Rural,4,5,10,Available,143,3,25,2025-09-07,Medium
F0617,Urban,6,2,3,Limited,677,3,41,2025-09-08,Medium
F0618,Urban,7,8,4,Available,296,6,35,2025-09-09,Medium
F0619,Rural,10,2,5,Available,841,5,29,2025-09-10,Low
F0620,Semi-Urban,4,10,3,Available,413,5,41,2025-09-11,Medium
F0621,Urban,6,6,10,Available,683,3,29,2025-09-12,Medium
F0622,Urban,1,8,2,Limited,379,2,12,2025-09-13,Medium
F0623,Urban,8,6,2,Limited,642,5,35,2025-09-14,Medium
F0624,Semi-Urban,7,4,7,Available,488,5,20,2025-09-15,Medium
F0625,Semi-Urban,9,4,9,Available,647,6,17,2025-09-16,Medium
F0626,Urban,3,6,10,Available,719,1,12,2025-09-17,Medium
F0627,Semi-Urban,2,4,2,Available,76,4,36,2025-09-18,Medium
F0628,Semi-Urban,1,8,7,Available,270,1,10,2025-09-19,Medium
F0629,Urban,3,9,7,Available,915,1,18,2025-09-20,Medium
F0630,Urban,5,1,7,Available,938,4,30,2025-09-21,Medium
F0631,Semi-Urban,2,4,3,Available,169,5,8,2025-09-22,Medium
F0632,Rural,3,4,7,Available,471,2,41,2025-09-23,Medium
F0633,Semi-Urban,4,2,1,Available,181,1,13,2025-09-24,Low
F0634,Semi-Urban,7,6,10,Available,139,5,31,2025-09-25,Medium
F0635,Urban,3,3,1,Available,601,5,6,2025-09-26,Low
F0636,Urban,9,7,5,Available,943,1,7,2025-09-27,Low
F0637,Semi-Urban,8,5,2,Available,370,3,21,2025-09-28,Low
F0638,Urban,4,4,9,Available,118,7,38,2025-09-29,Medium
F0639,Urban,1,5,7,Available,186,3,43,2025-09-30,Medium
F0640,Urban,1,8,4,Available,829,2,28,2025-10-01,Medium
F0641,Urban,1,3,4,Available,682,2,44,2025-10-02,Medium
F0642,Urban,1,7,2,Available,857,5,21,2025-10-03,Medium
F0643,Urban,8,6,5,Limited,995,2,21,2025-10-04,Medium
F0644,Urban,3,1,4,Available,533,2,24,2025-10-05,Medium
F0645,Urban,6,7,1,Available,683,3,27,2025-10-06,Medium
F0646,Rural,3,7,8,Available,420,2,27,2025-10-07,Medium
F0647,Semi-Urban,5,1,3,Available,384,3,13,2025-10-08,Low
F0648,Semi-Urban,7,9,6,Available,596,2,29,2025-10-09,Medium
F0649,Semi-Urban,2,6,4,Available,345,2,39,2025-10-10,Medium
F0650,Semi-Urban,6,2,9,Available,600,0,28,2025-10-11,Medium
F0651,Urban,6,5,7,Available,652,7,37,2025-10-12,Medium
F0652,Semi-Urban,3,4,9,Available,640,5,29,2025-10-13,Medium
F0653,Semi-Urban,6,7,10,Available,847,1,48,2025-10-14,Medium
F0654,Semi-Urban,10,8,3,Limited,266,1,22,2025-10-15,Medium
F0655,Urban,10,1,1,Available,453,2,36,2025-10-16,Low
F0656,Urban,5,5,5,Limited,112,3,30,2025-10-17,Medium
F0657,Urban,2,3,3,Limited,287,2,28,2025-10-18,Medium
F0658,Urban,9,1,6,Available,634,3,23,2025-10-19,Low
F0659,Semi-Urban,8,3,8,Available,962,4,33,2025-10-20,Medium
F0660,Semi-Urban,3,6,4,Available,982,3,4,2025-10-21,Medium
F0661,Urban,8,7,5,Limited,643,9,3,2025-10-22,Medium
F0662,Rural,9,8,5,Limited,340,3,32,2025-10-23,Medium
F0663,Semi-Urban,3,4,4,Available,942,4,4,2025-10-24,Medium
F0664,Urban,3,3,4,Limited,835,1,1,2025-10-25,Medium
F0665,Urban,2,5,4,Available,875,4,12,2025-10-26,Medium
F0666,Urban,8,9,4,Available,81,1,13,2025-10-27,Low
F0667,Urban,10,6,4,Unavailable,319,4,34,2025-10-28,Medium
F0668,Urban,1,9,5,Limited,422,2,29,2025-10-29,High
F0669,Urban,8,6,2,Available,974,5,9,2025-10-30,Low
F0670,Urban,7,2,2,Limited,667,3,31,2025-10-31,Medium
F0671,Urban,7,5,9,Unavailable,586,4,7,2025-11-01,Medium
F0672,Rural,3,9,2,Limited,639,1,13,2025-11-02,Medium
F0673,Urban,1,8,6,Limited,322,2,2,2025-11-03,Medium
F0674,Semi-Urban,4,7,2,Limited,789,3,33,2025-11-04,Medium
F0675,Urban,9,1,5,Available,272,6,7,2025-11-05,Low
F0676,Rural,5,4,4,Limited,753,5,18,2025-11-06,Medium
F0677,Urban,1,7,7,Available,497,4,8,2025-11-07,Medium
F0678,Urban,5,7,7,Limited,388,3,12,2025-11-08,Medium
F0679,Rural,8,6,6,Available,698,5,43,2025-11-09,Medium
F0680,Rural,8,8,10,Available,960,3,30,2025-11-10,Medium
F0681,Rural,5,6,5,Available,179,3,9,2025-11-11,Medium
F0682,Urban,9,10,1,Available,980,5,28,2025-11-12,Medium
F0683,Urban,1,3,3,Available,185,5,4,2025-11-13,Medium
F0684,Semi-Urban,4,4,9,Unavailable,224,3,39,2025-11-14,High
F0685,Rural,3,3,1,Unavailable,286,4,17,2025-11-15,Medium
F0686,Semi-Urban,2,1,5,Available,157,2,11,2025-11-16,Low
F0687,Semi-Urban,8,10,2,Unavailable,387,2,2,2025-11-17,Medium
F0688,Urban,7,5,4,Limited,462,1,23,2025-11-18,Medium
F0689,Semi-Urban,9,1,1,Available,877,3,22,2025-11-19,Low
F0690,Urban,2,1,3,Available,779,4,26,2025-11-20,Medium
F0691,Urban,4,2,10,Unavailable,586,1,12,2025-11-21,Medium
F0692,Urban,6,4,7,Available,935,3,32,2025-11-22,Medium
F0693,Semi-Urban,3,6,10,Limited,740,5,9,2025-11-23,High
F0694,Urban,8,8,3,Limited,36,1,43,2025-11-24,Medium
F0695,Urban,3,3,4,Limited,87,4,5,2025-11-25,Medium
F0696,Semi-Urban,2,1,2,Available,152,1,26,2025-11-26,Low
F0697,Urban,3,3,3,Available,719,9,7,2025-11-27,Medium
F0698,Semi-Urban,6,3,9,Available,938,2,29,2025-11-28,Medium
F0699,Urban,2,5,3,Available,449,0,33,2025-11-29,Medium
F0700,Semi-Urban,8,4,5,Available,327,2,24,2025-11-30,Low
F0701,Semi-Urban,1,4,2,Available,669,3,25,2025-12-01,Medium
F0702,Urban,7,9,4,Available,193,1,31,2025-12-02,Medium
F0703,Urban,2,7,7,Limited,431,2,29,2025-12-03,High
F0704,Urban,10,4,7,Available,116,4,5,2025-12-04,Low
F0705,Urban,6,3,3,Available,702,1,38,2025-12-05,Medium
F0706,Rural,2,6,5,Available,173,2,45,2025-12-06,Medium
F0707,Urban,2,3,1,Available,714,2,11,2025-12-07,Medium
F0708,Rural,10,6,10,Available,261,0,32,2025-12-08,Medium
F0709,Urban,8,9,10,Limited,323,2,8,2025-12-09,Medium
F0710,Semi-Urban,2,6,10,Available,304,4,20,2025-12-10,Medium
F0711,Semi-Urban,7,4,1,Limited,46,5,34,2025-12-11,Medium
F0712,Semi-Urban,3,5,5,Available,421,3,47,2025-12-12,Medium
F0713,Semi-Urban,8,6,10,Limited,379,6,42,2025-12-13,High
F0714,Urban,7,3,9,Limited,79,2,8,2025-12-14,Medium
F0715,Urban,8,8,1,Unavailable,221,3,2,2025-12-15,Medium
F0716,Rural,7,4,1,Limited,781,4,21,2025-12-16,Medium
F0717,Rural,6,8,4,Unavailable,893,5,15,2025-12-17,High
F0718,Rural,7,10,4,Limited,600,1,6,2025-12-18,Medium
F0719,Urban,5,10,2,Available,989,3,5,2025-12-19,Medium
F0720,Semi-Urban,7,3,9,Available,389,1,3,2025-12-20,Low
F0721,Rural,1,10,9,Available,552,4,43,2025-12-21,High
F0722,Urban,1,7,2,Available,171,4,43,2025-12-22,Medium
F0723,Urban,9,9,9,Available,121,3,16,2025-12-23,Medium
F0724,Semi-Urban,5,4,6,Available,918,1,35,2025-12-24,Medium
F0725,Semi-Urban,5,8,8,Limited,626,3,9,2025-12-25,Medium
F0726,Rural,3,3,10,Unavailable,465,0,35,2025-12-26,High
F0727,Urban,5,7,4,Available,892,2,19,2025-12-27,Medium
F0728,Semi-Urban,3,3,2,Available,248,2,43,2025-12-28,Medium
F0729,Urban,9,7,2,Unavailable,144,8,46,2025-12-29,Medium
F0730,Urban,9,10,9,Available,789,0,34,2025-12-30,Medium
F0731,Urban,6,10,1,Limited,853,0,39,2025-12-31,Medium
F0732,Rural,1,6,7,Available,900,4,10,2026-01-01,Medium
F0733,Semi-Urban,7,2,3,Available,957,1,10,2026-01-02,Low
F0734,Semi-Urban,7,3,3,Available,255,0,20,2026-01-03,Low
F0735,Urban,10,6,2,Limited,181,4,1,2026-01-04,Low
F0736,Rural,10,4,10,Available,573,5,6,2026-01-05,Low
F0737,Urban,4,6,6,Available,807,4,46,2026-01-06,Medium
F0738,Rural,8,1,10,Available,372,3,2,2026-01-07,Low
F0739,Urban,6,10,2,Available,87,5,38,2026-01-08,Medium
F0740,Urban,4,1,10,Unavailable,192,3,33,2026-01-09,High
F0741,Semi-Urban,4,3,4,Limited,862,1,3,2026-01-10,Medium
F0742,Urban,2,8,10,Available,656,1,36,2026-01-11,High
F0743,Semi-Urban,2,8,9,Available,701,0,13,2026-01-12,Medium
F0744,Semi-Urban,4,4,9,Available,578,5,35,2026-01-13,Medium
F0745,Urban,5,6,6,Limited,280,3,15,2026-01-14,Medium
F0746,Rural,8,8,4,Limited,236,2,45,2026-01-15,Medium
F0747,Urban,6,7,7,Available,836,2,22,2026-01-16,Medium
F0748,Semi-Urban,4,7,1,Limited,143,4,43,2026-01-17,Medium
F0749,Rural,7,4,4,Available,824,3,4,2026-01-18,Low
F0750,Semi-Urban,8,9,5,Unavailable,181,2,17,2026-01-19,Medium
F0751,Urban,2,10,8,Unavailable,220,3,5,2026-01-20,High
F0752,Rural,7,6,2,Limited,473,3,21,2026-01-21,Medium
F0753,Semi-Urban,2,3,5,Limited,421,2,24,2026-01-22,Medium
F0754,Urban,2,5,6,Available,481,3,31,2026-01-23,Medium
F0755,Urban,8,5,5,Limited,294,2,40,2026-01-24,Medium
F0756,Semi-Urban,2,5,9,Available,225,2,30,2026-01-25,Medium
F0757,Semi-Urban,9,8,10,Available,59,3,42,2026-01-26,Medium
F0758,Semi-Urban,1,9,1,Available,292,4,7,2026-01-27,Medium
F0759,Rural,9,9,3,Limited,719,5,7,2026-01-28,Medium
F0760,Semi-Urban,1,6,2,Available,886,4,27,2026-01-29,Medium
F0761,Urban,10,6,3,Available,112,3,24,2026-01-30,Low
F0762,Urban,10,9,10,Available,61,5,19,2026-01-31,Medium
F0763,Urban,2,4,9,Available,484,2,41,2026-02-01,Medium
F0764,Semi-Urban,6,6,9,Available,398,4,34,2026-02-02,Medium
F0765,Urban,6,4,10,Limited,126,3,22,2026-02-03,Medium
F0766,Semi-Urban,1,1,2,Limited,347,4,27,2026-02-04,Medium
F0767,Semi-Urban,7,7,3,Available,84,4,6,2026-02-05,Low
F0768,Rural,8,10,4,Limited,384,1,10,2026-02-06,Medium
F0769,Urban,2,6,9,Limited,840,2,45,2026-02-07,High
F0770,Rural,8,9,3,Available,503,4,31,2026-02-08,Medium
F0771,Urban,9,7,7,Limited,666,3,25,2026-02-09,Medium
F0772,Rural,6,7,3,Unavailable,920,3,2,2026-02-10,Medium
F0773,Urban,5,2,7,Available,43,6,10,2026-02-11,Medium
F0774,Urban,9,9,7,Available,559,4,10,2026-02-12,Medium
F0775,Semi-Urban,9,10,9,Unavailable,81,6,26,2026-02-13,High
F0776,Urban,1,9,2,Available,510,4,5,2026-02-14,Medium
F0777,Urban,3,6,6,Available,292,1,22,2026-02-15,Medium
F0778,Semi-Urban,9,3,9,Available,248,4,4,2026-02-16,Low
F0779,Semi-Urban,2,1,2,Available,39,3,34,2026-02-17,Medium
F0780,Semi-Urban,4,4,2,Limited,22,5,7,2026-02-18,Medium
F0781,Semi-Urban,4,3,5,Available,440,3,17,2026-02-19,Medium
F0782,Semi-Urban,2,1,10,Available,749,2,11,2026-02-20,Medium
F0783,Urban,3,3,10,Available,930,1,8,2026-02-21,Medium
